timestamp,x,y,z
0,5.41,-2.38,9.08
10,5.36,-2.28,9.33
20,5.35,-2.22,9.27
30,5.36,-2.41,9.04
40,5.39,-2.53,8.97
50,5.44,-2.67,8.91
60,5.43,-2.88,8.9
70,5.47,-2.8,8.92
80,5.37,-2.81,9.13
90,5.31,-2.78,9.17
100,5.2,-2.59,8.88
110,5.03,-2.52,8.59
120,5.03,-2.96,8.11
130,5.09,-3.38,7.98
140,5.08,-3.44,7.98
150,5.01,-3.3,7.55
160,4.91,-4.01,6.75
170,4.62,-5.76,6.83
180,4.81,-7.47,6.34
190,5.01,-8.25,5.98
200,4.96,-8.1,6.24
210,4.81,-7.87,6.81
220,4.59,-7.22,6.4
230,4.31,-6.53,5.97
240,4.11,-5.61,5.77
250,3.8,-4.38,6.24
260,3.41,-3.16,6.85
270,3.46,-2.19,7.28
280,3.69,-1.51,8.49
290,4.32,-1.29,9.9
300,5.12,-1.51,11.28
310,5.81,-1.76,12.23
320,5.93,-1.82,13.37
330,5.19,-1.72,14.92
340,4.88,-1.27,15.43
350,4.67,-1.04,16.38
360,4.44,-0.75,17.02
370,4.2,-0.36,17.82
380,4.32,-0.35,17.65
390,3.13,-0.88,16.36
400,-0.48,1.23,22.21
410,3.14,-0.42,15.61
420,2.79,-1.89,17.45
430,2.26,-1.93,19.65
440,1.47,-1.54,21.05
450,0.86,-1.77,21.25
460,-0.04,-0.64,20.0
470,-1.37,0.75,19.05
480,-2.52,1.41,18.39
490,-3.89,1.89,17.8
500,-4.64,2.41,17.02
510,-4.9,2.48,15.49
520,-5.03,2.87,13.61
530,-5.12,3.66,12.11
540,-5.12,4.57,11.12
550,-4.86,5.61,9.95
560,-4.56,6.4,8.52
570,-4.39,6.79,7.49
580,-3.99,6.44,6.36
590,-3.72,5.47,5.72
600,-3.62,4.19,5.35
610,-3.79,2.99,5.39
620,-3.98,2.46,5.38
630,-4.68,2.89,5.28
640,-5.94,3.39,5.14
650,-7.54,3.4,4.8
660,-9.29,2.35,1.88
670,-10.75,-0.12,-3.07
680,-11.8,-3.89,-8.55
690,-11.0,-9.88,-10.19
700,-8.83,-16.78,-6.8
710,-5.89,-22.87,0.12
720,-3.25,-26.47,6.29
730,-0.49,-28.71,6.9
740,1.41,-29.46,3.66
750,3.71,-28.49,-0.57
760,3.97,-25.96,-2.29
770,3.97,-22.01,-3.46
780,3.37,-17.29,-1.73
790,2.4,-14.86,1.17
800,1.92,-13.93,3.27
810,2.45,-13.76,4.21
820,2.89,-14.03,7.05
830,4.12,-15.13,9.87
840,6.82,-17.69,15.78
850,4.43,-26.51,13.66
860,8.72,-20.35,10.92
870,6.12,-18.37,17.49
880,6.91,-12.84,20.59
890,4.13,-11.76,26.77
900,4.32,-11.21,25.8
910,2.63,-10.19,25.4
920,0.91,-6.83,27.91
930,-0.45,-2.8,28.29
940,-1.2,-0.91,26.36
950,-1.84,0.37,25.48
960,-2.43,1.99,25.09
970,-2.89,2.68,24.41
980,-3.42,3.06,23.37
990,-3.74,3.87,21.39
1000,-4.46,5.34,18.89
