timestamp,x,y,z
0,2.27,-0.28,9.72
10,2.29,-0.32,9.73
20,2.33,-0.35,9.82
30,2.37,-0.41,10.01
40,2.44,-0.6,10.13
50,2.5,-0.83,10.09
60,2.56,-0.9,9.94
70,2.56,-0.87,9.79
80,2.58,-0.83,9.83
90,2.7,-1.01,9.96
100,2.58,-0.89,10.09
110,2.5,-0.6,9.98
120,2.57,-0.52,9.69
130,2.67,-0.61,9.81
140,2.64,-0.52,10.0
150,2.62,-0.39,10.0
160,2.6,-0.19,9.9
170,2.58,0.0,9.87
180,2.55,0.08,9.89
190,2.53,0.11,9.87
200,2.5,0.2,9.96
210,2.48,0.28,10.04
220,2.44,0.38,10.11
230,2.4,0.5,10.15
240,2.34,0.58,10.16
250,2.34,0.62,10.11
260,2.34,0.58,10.06
270,2.36,0.5,10.04
280,2.36,0.45,10.0
290,2.35,0.45,9.96
300,2.41,0.44,9.87
310,2.47,0.39,9.81
320,2.55,0.37,9.73
330,2.6,0.37,9.64
340,2.63,0.38,9.56
350,2.66,0.46,9.5
360,2.74,0.55,9.53
370,2.77,0.68,9.53
380,2.73,0.85,9.54
390,2.69,1.08,9.55
400,2.64,1.27,9.5
410,2.5,1.65,9.45
420,2.28,2.29,9.36
430,2.02,3.05,9.23
440,1.75,3.43,9.06
450,1.42,3.61,8.66
460,0.85,3.71,7.77
470,0.17,3.81,5.99
480,-0.79,4.48,4.56
490,-1.89,5.05,3.41
500,-2.73,5.58,2.3
510,-3.32,5.38,1.17
520,-4.1,4.84,0.27
530,-4.79,4.25,-0.78
540,-5.48,4.51,-1.13
550,-6.01,3.85,-0.98
560,-6.15,1.67,-0.81
570,-6.04,-1.38,0.06
580,-5.39,-5.16,2.74
590,-4.41,-9.02,7.66
600,-3.54,-11.16,12.97
610,-2.73,-12.2,16.4
620,-1.64,-13.08,16.89
630,-1.27,-12.32,16.3
640,-0.38,-10.76,14.24
650,0.34,-10.22,13.98
660,0.72,-10.37,15.6
670,1.26,-10.38,17.16
680,1.54,-9.83,17.96
690,1.6,-8.87,18.41
700,1.52,-7.55,19.11
710,1.32,-6.53,20.44
720,0.86,-6.03,21.62
730,0.21,-5.54,21.23
740,-0.3,-5.85,19.08
750,-2.47,-1.06,20.27
760,-3.64,4.71,20.59
770,-3.63,6.28,20.52
780,-3.25,3.92,20.74
790,-3.09,0.78,19.28
800,-3.51,0.82,16.4
810,-4.19,2.19,13.65
820,-5.14,3.98,12.54
830,-5.93,6.31,12.49
840,-6.55,8.27,13.02
850,-7.04,9.19,12.97
860,-7.22,11.9,13.18
870,-7.61,13.12,12.83
880,-7.99,12.54,11.2
890,-8.12,12.29,9.79
900,-8.33,12.39,9.73
910,-8.44,12.03,9.89
920,-8.66,11.67,9.16
930,-8.57,10.93,7.52
940,-8.38,10.16,5.86
950,-7.92,9.36,5.27
960,-8.46,8.07,5.86
970,-8.22,6.7,6.4
980,-7.97,6.24,6.76
990,-7.79,5.3,7.51
1000,-7.14,3.5,7.86
