timestamp,x,y,z
0,3.07,-0.29,10.18
10,3.05,-0.28,10.1
20,3.09,-0.29,10.01
30,3.11,-0.31,10.06
40,3.09,-0.3,10.11
50,3.1,-0.39,10.09
60,3.09,-0.44,10.13
70,3.09,-0.49,10.32
80,3.09,-0.52,10.38
90,3.07,-0.51,10.33
100,3.07,-0.4,10.38
110,3.12,-0.24,10.36
120,3.19,-0.07,10.37
130,3.22,0.02,10.24
140,3.27,0.13,10.29
150,3.17,-0.08,10.45
160,3.21,-0.26,10.13
170,3.14,-0.51,10.03
180,3.13,-0.61,9.97
190,3.16,-0.69,9.71
200,3.29,-0.58,9.46
210,3.42,-0.45,9.61
220,3.45,-0.17,9.83
230,3.33,0.03,9.76
240,3.14,0.11,9.55
250,3.03,0.16,9.48
260,2.96,0.2,9.72
270,2.95,0.08,9.86
280,2.93,0.08,9.74
290,2.98,0.22,9.56
300,3.21,-0.12,9.62
310,3.1,0.12,10.05
320,3.11,0.27,10.29
330,3.13,0.01,10.46
340,2.94,-0.25,10.54
350,2.98,-0.47,10.7
360,2.84,-0.85,10.5
370,2.85,-1.07,10.21
380,2.9,-1.32,10.43
390,2.91,-1.42,10.61
400,2.84,-1.54,10.51
410,2.63,-1.32,10.46
420,2.65,-1.4,10.24
430,2.54,-1.38,10.45
440,2.56,-1.41,10.8
450,2.48,-1.05,10.2
460,2.49,-1.3,10.12
470,2.62,-1.52,10.41
480,2.79,-2.2,9.96
490,2.9,-2.69,10.0
500,2.93,-2.77,9.96
510,2.96,-2.79,10.3
520,2.82,-2.49,10.23
530,2.81,-2.36,10.2
540,2.74,-2.16,10.49
550,2.6,-1.71,10.41
560,2.57,-1.5,10.02
570,2.49,-1.42,10.02
580,2.6,-1.54,9.97
590,2.6,-1.54,10.15
600,2.66,-1.47,10.37
610,2.47,-0.99,10.24
620,2.37,-0.81,10.01
630,2.16,-0.55,10.01
640,2.29,-0.4,10.07
650,2.32,0.0,10.36
660,2.22,0.46,10.4
670,2.02,0.71,10.36
680,1.99,0.83,9.45
690,2.0,0.68,9.43
700,1.91,1.34,9.74
710,1.76,2.49,10.04
720,2.01,1.58,10.52
730,2.08,1.8,10.52
740,2.06,1.75,10.89
750,1.98,1.84,11.19
760,1.86,2.38,11.34
770,1.72,3.12,11.24
780,1.62,3.64,10.76
790,1.69,3.84,10.46
800,1.69,4.09,10.22
810,1.87,4.12,9.65
820,1.82,4.41,9.51
830,2.03,4.62,9.37
840,2.1,4.57,8.84
850,2.12,4.69,8.92
860,2.08,4.52,9.37
870,1.79,4.76,10.07
880,1.79,4.98,10.84
890,1.69,4.78,11.39
900,1.78,4.47,11.28
910,1.87,3.82,10.97
920,2.0,3.19,10.76
930,2.11,2.71,10.49
940,2.15,2.63,10.12
950,2.07,2.75,10.3
960,2.21,2.57,10.02
970,2.34,1.8,10.66
980,2.29,1.31,10.8
990,2.34,1.33,10.49
1000,2.64,0.72,10.67
