timestamp,x,y,z
0,4.63,-2.3,8.95
10,4.74,-2.26,8.96
20,4.76,-2.16,8.79
30,4.53,-2.31,8.86
40,4.57,-2.49,8.99
50,4.62,-2.51,9.05
60,4.72,-2.54,9.05
70,4.78,-2.49,8.97
80,4.62,-2.45,9.0
90,4.57,-2.33,9.04
100,4.58,-2.11,8.95
110,4.42,-1.95,8.94
120,4.1,-1.84,9.18
130,4.29,-1.6,9.2
140,4.25,-1.52,9.23
150,4.07,-1.39,9.32
160,4.02,-0.99,9.37
170,3.9,-0.43,9.5
180,1.56,-0.88,5.66
190,4.96,0.86,8.51
200,5.05,-0.57,7.86
210,3.89,-1.66,8.77
220,4.16,-2.04,8.5
230,2.7,-2.34,9.94
240,4.08,-2.35,8.78
250,3.83,-2.62,8.2
260,4.01,-3.18,7.35
270,4.21,-4.08,6.69
280,3.98,-5.13,6.37
290,3.92,-5.89,5.74
300,4.11,-6.68,4.61
310,4.42,-7.61,3.22
320,5.16,-9.17,1.47
330,6.36,-11.86,-0.14
340,7.09,-15.77,-1.26
350,6.87,-20.14,-1.96
360,5.82,-23.48,-1.92
370,4.14,-24.16,-0.74
380,2.22,-21.6,1.34
390,-0.08,-17.84,3.65
400,-1.61,-13.73,5.06
410,-3.03,-10.84,6.09
420,-4.74,-8.63,7.07
430,-5.85,-6.78,7.61
440,-7.03,-6.04,7.99
450,-8.41,-5.17,8.6
460,-9.88,-3.02,9.76
470,-11.45,3.04,13.04
480,-11.26,9.26,16.3
490,-10.59,14.36,18.73
500,-9.54,18.79,20.18
510,-8.26,21.01,20.43
520,-7.13,19.94,19.4
530,-6.62,15.93,17.61
540,-5.82,12.38,15.51
550,-5.37,10.89,13.87
560,-5.38,11.16,13.05
570,-5.74,12.37,13.47
580,-6.02,13.21,14.1
590,-6.37,12.99,14.38
600,-6.65,12.27,14.17
610,-7.22,12.02,13.58
620,-7.47,11.08,12.22
630,-8.02,9.25,11.56
640,-8.06,6.97,10.77
650,-8.29,4.69,10.53
660,-8.94,2.65,10.98
670,-8.89,0.32,11.15
680,-8.51,-1.6,11.2
690,-7.93,-4.01,11.54
700,-6.96,-6.99,11.89
710,-6.15,-9.43,11.76
720,-5.26,-11.28,10.71
730,-3.79,-12.13,9.28
740,-2.62,-12.53,8.42
750,-1.66,-12.29,7.92
760,-1.26,-12.05,7.81
770,-0.95,-12.26,7.86
780,-0.69,-12.63,7.37
790,0.11,-12.65,6.27
800,1.31,-13.19,4.82
810,2.47,-14.65,3.35
820,3.54,-17.19,2.25
830,4.04,-21.08,1.64
840,4.55,-24.84,0.91
850,4.44,-28.7,0.17
860,3.28,-31.83,-0.26
870,1.11,-31.91,0.35
880,-1.64,-28.81,1.3
890,-4.52,-23.92,2.33
900,-7.49,-18.47,3.08
910,-9.75,-13.96,3.83
920,-10.88,-10.75,5.3
930,-12.31,-9.47,8.41
940,-14.0,-8.71,12.21
950,-15.6,-7.42,15.53
960,-17.36,-6.14,18.05
970,-19.15,-4.0,19.17
980,-20.62,-0.38,19.35
990,-20.01,10.43,17.96
1000,-16.66,21.23,17.77
