timestamp,x,y,z
0,5.26,-1.91,8.73
10,5.18,-1.83,8.83
20,5.08,-1.67,9.01
30,5.03,-1.69,9.14
40,5.04,-1.89,9.07
50,5.13,-2.09,8.88
60,5.19,-2.31,8.79
70,5.25,-2.48,8.7
80,5.34,-2.91,8.53
90,5.41,-3.27,8.28
100,5.45,-3.42,8.26
110,5.38,-3.39,8.36
120,5.26,-3.35,8.22
130,5.08,-3.31,8.03
140,4.96,-3.16,7.74
150,4.93,-3.18,7.61
160,4.92,-3.03,7.31
170,4.75,-2.65,7.21
180,4.57,-2.2,7.29
190,4.36,-1.69,7.37
200,4.16,-1.16,6.94
210,4.05,-0.8,6.42
220,3.88,-0.36,5.46
230,3.72,-0.24,4.58
240,3.11,0.07,4.82
250,2.67,0.23,6.08
260,2.4,-0.51,7.49
270,2.66,-1.6,8.79
280,3.05,-2.85,9.78
290,4.0,-4.02,10.97
300,4.86,-5.51,12.95
310,5.56,-7.01,14.48
320,6.34,-8.23,14.03
330,6.34,-8.79,14.26
340,6.01,-8.74,13.98
350,5.48,-7.92,14.08
360,4.92,-7.34,14.71
370,4.5,-6.35,15.59
380,3.87,-5.34,16.55
390,3.32,-4.21,17.76
400,2.71,-2.82,19.06
410,1.62,-1.45,20.32
420,-0.18,0.74,22.65
430,1.42,0.52,21.18
440,1.74,0.14,20.5
450,1.5,-0.24,21.61
460,1.26,0.14,21.54
470,0.81,0.5,20.78
480,0.02,0.91,20.57
490,-1.04,1.58,20.78
500,-2.29,1.56,19.9
510,-3.15,2.33,17.73
520,-4.21,3.11,16.67
530,-5.39,4.08,16.03
540,-5.91,5.15,15.56
550,-6.09,5.64,14.28
560,-6.4,5.71,13.24
570,-6.32,5.36,11.38
580,-6.24,5.02,9.71
590,-6.29,5.1,8.29
600,-6.26,5.21,6.49
610,-6.2,4.72,4.61
620,-6.03,3.63,2.24
630,-5.78,2.23,-0.75
640,-5.29,0.53,-3.26
650,-4.6,-1.22,-4.48
660,-4.09,-2.15,-4.7
670,-3.84,-2.67,-4.56
680,-4.05,-3.02,-4.35
690,-3.59,-4.33,-4.47
700,-2.49,-4.14,-1.97
710,-3.52,-9.95,-0.55
720,-2.84,-8.36,-5.35
730,-2.25,-12.07,-6.44
740,-2.03,-10.56,-4.72
750,-1.88,-10.27,-2.27
760,-1.36,-11.04,-1.67
770,-0.34,-13.19,-2.14
780,0.59,-15.6,-2.47
790,1.29,-16.79,-1.34
800,1.66,-16.64,1.83
810,1.44,-16.3,2.21
820,1.28,-15.96,0.83
830,0.75,-15.57,0.01
840,0.25,-14.93,0.6
850,0.18,-14.43,1.87
860,0.58,-14.9,5.3
870,1.67,-16.51,9.73
880,3.2,-18.73,13.74
890,4.58,-21.36,17.68
900,5.55,-22.64,21.97
910,4.48,-19.43,23.71
920,3.9,-25.13,27.44
930,4.5,-19.67,23.88
940,4.69,-17.5,24.61
950,2.82,-13.58,22.04
960,4.9,-9.74,21.1
970,2.99,-10.31,21.52
980,4.36,-8.87,17.44
990,3.32,-8.58,18.29
1000,3.04,-6.39,20.18
