timestamp,x,y,z
0,3.02,-1.93,9.56
10,3.03,-1.97,9.64
20,3.05,-2.0,9.66
30,3.04,-1.96,9.61
40,3.06,-1.94,9.52
50,3.05,-2.0,9.49
60,3.09,-2.06,9.43
70,3.08,-2.07,9.43
80,3.09,-2.08,9.43
90,3.11,-1.99,9.57
100,3.09,-1.98,9.69
110,3.08,-1.91,9.6
120,3.08,-1.79,9.37
130,3.13,-1.74,9.24
140,3.14,-1.77,9.25
150,3.16,-1.83,9.32
160,3.16,-1.83,9.34
170,3.17,-1.8,9.41
180,3.18,-1.76,9.42
190,3.16,-1.75,9.5
200,3.17,-1.78,9.53
210,3.18,-1.73,9.54
220,3.18,-1.72,9.49
230,3.21,-1.69,9.42
240,3.23,-1.65,9.39
250,3.24,-1.6,9.39
260,3.22,-1.51,9.3
270,3.19,-1.32,9.37
280,3.15,-1.14,9.44
290,3.09,-0.95,9.41
300,3.06,-0.64,9.4
310,2.93,-0.21,9.32
320,2.74,0.33,9.28
330,2.61,0.63,9.1
340,2.47,0.81,8.71
350,2.32,1.05,8.05
360,2.24,1.2,7.26
370,2.01,1.38,6.58
380,1.65,1.44,5.59
390,1.22,1.78,4.87
400,0.51,2.3,4.11
410,-0.18,2.85,2.39
420,-0.92,3.78,0.62
430,-1.8,4.34,-0.72
440,-2.14,3.72,-2.72
450,-2.46,2.24,-3.76
460,-2.82,-0.28,-1.96
470,-3.16,-4.58,0.69
480,-2.47,-8.56,3.53
490,-2.77,-11.52,6.08
500,-2.77,-12.91,7.25
510,-3.61,-12.77,9.06
520,-4.1,-11.51,11.45
530,-3.97,-11.07,14.03
540,-3.58,-12.55,16.73
550,-2.82,-14.48,18.31
560,-2.6,-14.8,18.54
570,-2.68,-12.96,17.21
580,-2.65,-10.44,14.83
590,-2.5,-8.52,14.23
600,-2.42,-6.97,15.44
610,-2.27,-5.53,17.21
620,-2.74,-4.45,19.09
630,-3.16,-3.87,19.51
640,-3.45,-3.05,19.63
650,-4.23,-1.78,20.14
660,-4.57,-0.9,20.17
670,-5.05,-0.14,20.29
680,-5.38,0.59,19.79
690,-6.04,1.6,18.64
700,-6.92,4.07,17.77
710,-7.04,8.76,17.31
720,-7.32,12.69,17.67
730,-7.49,12.67,17.28
740,-7.27,11.78,14.85
750,-7.33,12.01,12.98
760,-7.23,14.54,12.99
770,-7.12,15.24,13.13
780,-7.05,12.61,11.93
790,-6.73,10.83,11.73
800,-6.7,10.52,11.92
810,-6.92,10.12,11.3
820,-6.91,9.35,10.29
830,-6.77,8.27,8.9
840,-6.62,7.31,7.3
850,-6.41,6.53,6.12
860,-6.34,6.47,6.03
870,-6.2,5.95,6.28
880,-6.28,5.17,6.68
890,-6.22,4.33,6.91
900,-6.06,2.94,7.12
910,-5.75,1.57,6.66
920,-5.11,-0.14,5.54
930,-4.51,-1.72,4.81
940,-3.93,-3.2,4.82
950,-3.15,-5.11,5.2
960,-2.14,-7.29,4.94
970,-0.92,-9.04,3.79
980,0.18,-9.97,2.71
990,1.24,-10.53,2.03
1000,1.72,-10.66,2.15
