timestamp,x,y,z
0,2.48,-1.6,10.06
10,2.46,-1.51,10.13
20,2.38,-1.32,10.26
30,2.29,-1.12,10.16
40,2.24,-1.07,9.99
50,2.24,-1.22,9.84
60,2.31,-1.31,9.78
70,2.31,-1.25,9.78
80,2.26,-1.17,9.86
90,2.25,-1.12,9.84
100,2.21,-1.02,9.59
110,2.17,-0.96,9.52
120,2.1,-0.97,9.61
130,2.16,-1.0,9.65
140,2.21,-1.21,9.77
150,2.25,-1.27,9.72
160,2.18,-1.31,9.79
170,2.12,-1.26,9.84
180,1.99,-1.06,10.13
190,1.91,-1.08,10.2
200,1.92,-1.26,10.09
210,1.89,-1.46,10.13
220,1.85,-1.44,10.13
230,1.88,-1.51,9.91
240,1.82,-1.55,9.65
250,1.69,-1.48,9.38
260,1.54,-1.44,9.02
270,1.45,-1.54,8.63
280,1.44,-1.76,8.26
290,1.45,-1.76,7.98
300,1.54,-1.72,7.91
310,1.75,-2.04,7.73
320,1.96,-2.6,7.51
330,2.03,-2.93,7.58
340,2.12,-3.19,7.6
350,2.16,-3.42,7.76
360,2.23,-3.6,7.89
370,2.35,-3.99,8.19
380,2.49,-4.09,8.6
390,2.67,-4.07,8.97
400,2.71,-3.97,9.63
410,2.74,-3.66,10.29
420,2.76,-3.95,10.64
430,2.7,-4.32,10.55
440,2.54,-4.33,10.93
450,2.18,-4.32,11.85
460,1.91,-3.68,12.44
470,1.66,-3.0,13.67
480,1.31,-2.49,14.72
490,1.28,-1.64,14.82
500,1.05,-1.33,15.42
510,0.85,-0.35,15.66
520,0.52,0.45,16.58
530,0.25,1.12,17.0
540,-0.0,1.11,17.28
550,-0.14,0.21,17.76
560,-0.26,-1.42,18.46
570,-0.48,-2.58,18.99
580,-0.79,-2.63,19.88
590,-1.38,-1.62,20.59
600,-2.6,0.79,21.12
610,-3.92,3.67,20.54
620,-5.19,6.49,20.07
630,-6.4,8.2,19.74
640,-7.46,9.13,19.24
650,-8.32,9.91,19.48
660,-8.92,10.72,19.89
670,-9.32,11.04,17.58
680,-9.28,10.4,15.18
690,-9.28,10.26,12.98
700,-9.05,10.04,10.42
710,-8.94,9.53,8.94
720,-8.75,8.78,7.88
730,-8.64,7.92,6.19
740,-8.1,6.84,3.73
750,-8.01,6.09,1.58
760,-7.82,5.56,0.03
770,-7.38,4.81,-0.94
780,-7.02,3.62,-2.68
790,-6.58,1.88,-3.14
800,-5.9,-0.12,-3.35
810,-5.24,-2.29,-2.24
820,-4.28,-5.63,-1.79
830,-3.09,-10.2,-1.58
840,-1.99,-12.28,-2.68
850,-2.39,-10.84,-2.39
860,-3.57,-7.81,-1.03
870,-4.3,-6.89,-0.14
880,-4.58,-6.68,-0.55
890,-4.77,-6.48,-1.26
900,-4.51,-7.38,-1.05
910,-3.38,-10.42,-0.13
920,-2.17,-14.47,0.35
930,-1.2,-17.77,1.38
940,-0.75,-19.34,2.84
950,-1.18,-18.43,4.1
960,-1.72,-17.39,6.01
970,-2.79,-16.62,8.41
980,-3.06,-16.39,9.35
990,-3.51,-16.45,11.94
1000,-3.27,-17.0,14.77
