timestamp,x,y,z
0,3.65,-2.02,9.83
10,3.78,-2.21,9.97
20,3.7,-2.17,9.81
30,3.69,-1.81,9.47
40,3.78,-1.39,9.26
50,3.87,-1.67,9.29
60,3.96,-1.95,9.46
70,4.32,-1.92,9.17
80,4.24,-2.05,9.33
90,4.36,-2.04,9.27
100,4.47,-2.29,9.21
110,4.53,-2.5,9.3
120,4.62,-2.32,9.29
130,4.52,-2.61,9.59
140,4.46,-2.45,9.9
150,4.34,-1.8,10.12
160,4.3,-1.53,9.97
170,4.24,-1.39,10.06
180,4.09,-0.87,10.13
190,4.02,-0.57,9.95
200,3.87,-0.54,10.07
210,3.65,-0.19,10.0
220,3.47,0.19,9.74
230,3.13,0.82,9.57
240,2.74,1.36,9.34
250,2.43,2.43,9.41
260,2.14,3.49,9.5
270,1.89,3.86,10.01
280,1.64,3.84,9.9
290,1.38,4.02,9.23
300,1.15,4.47,8.07
310,0.82,4.76,7.01
320,0.6,4.95,6.11
330,0.28,5.15,5.69
340,-0.14,5.48,5.45
350,-0.62,5.82,5.2
360,-1.31,5.78,4.59
370,-1.92,5.65,3.77
380,-2.46,5.48,3.01
390,-3.38,4.69,2.72
400,-4.16,4.66,2.28
410,-4.61,3.59,1.66
420,-4.72,1.73,2.48
430,-4.94,-0.49,4.23
440,-4.88,-3.06,5.59
450,-4.46,-5.56,6.43
460,-3.53,-8.02,7.07
470,-2.52,-10.12,8.1
480,-2.02,-11.34,9.02
490,-1.82,-11.95,9.98
500,-1.69,-11.46,9.85
510,-1.48,-10.41,9.49
520,-1.05,-10.18,9.56
530,-0.9,-10.37,10.99
540,-0.62,-10.88,12.23
550,-0.33,-10.9,12.49
560,0.19,-10.12,12.38
570,0.34,-8.81,13.09
580,0.18,-7.48,14.62
590,0.3,-6.62,15.55
600,0.18,-6.0,16.15
610,-0.27,-4.64,17.93
620,-0.77,-3.35,20.14
630,-1.19,-2.16,22.24
640,-2.1,-2.25,23.67
650,-2.45,-3.17,23.06
660,-3.0,-2.61,21.88
670,-3.68,-2.12,21.29
680,-4.71,-1.79,21.44
690,-5.72,0.48,20.33
700,-6.33,4.98,19.08
710,-6.98,8.09,18.51
720,-7.4,9.18,18.12
730,-7.98,9.5,16.97
740,-8.21,9.78,15.33
750,-8.45,10.29,13.48
760,-8.47,11.61,12.46
770,-8.55,11.83,11.96
780,-8.58,10.83,10.73
790,-8.45,9.4,9.52
800,-8.67,8.96,8.46
810,-8.81,9.34,7.86
820,-8.9,10.11,7.95
830,-9.21,9.86,8.09
840,-9.44,8.7,7.53
850,-9.4,7.44,6.29
860,-9.49,6.62,5.31
870,-9.51,5.82,4.69
880,-9.44,4.29,4.46
890,-9.57,2.3,4.46
900,-9.28,0.19,4.93
910,-8.32,-2.61,5.99
920,-7.17,-6.05,6.94
930,-5.82,-9.27,7.44
940,-4.23,-11.57,6.85
950,-2.6,-12.99,4.91
960,-1.02,-13.13,3.01
970,0.75,-13.22,1.77
980,2.38,-13.86,1.31
990,3.56,-14.7,1.57
1000,4.33,-15.17,2.22
