timestamp,x,y,z
0,8.37,0.95,5.82
10,8.42,0.95,5.96
20,8.43,0.98,6.01
30,8.45,1.07,6.06
40,8.47,1.16,6.07
50,8.49,1.09,6.09
60,8.53,1.08,6.23
70,8.55,1.09,6.25
80,8.59,1.14,6.33
90,8.62,1.15,6.38
100,8.65,1.23,6.46
110,8.64,1.3,6.47
120,8.65,1.35,6.35
130,8.66,1.33,6.34
140,8.63,1.28,6.27
150,8.62,1.18,6.2
160,8.62,1.02,6.13
170,8.61,0.91,5.99
180,8.56,0.86,5.91
190,8.51,0.85,5.81
200,8.4,0.89,5.59
210,8.29,0.94,5.44
220,8.18,0.84,5.41
230,8.05,0.77,5.25
240,7.86,0.8,5.16
250,7.68,0.84,5.0
260,7.5,0.78,4.93
270,7.3,0.67,4.66
280,7.09,0.58,4.84
290,6.82,0.4,5.16
300,6.44,0.29,5.08
310,6.11,0.27,5.03
320,5.76,0.34,4.81
330,5.43,0.43,4.83
340,5.2,0.37,4.85
350,4.96,0.28,4.72
360,4.82,0.09,4.46
370,4.61,-0.21,4.36
380,4.57,-0.5,4.68
390,4.55,-0.61,5.04
400,4.56,-0.73,5.28
410,4.53,-0.62,5.47
420,4.43,-0.07,5.83
430,4.43,0.52,6.24
440,4.45,0.86,6.33
450,4.68,1.02,6.82
460,5.1,0.89,7.53
470,5.54,0.68,8.07
480,6.02,0.53,8.7
490,6.42,0.66,9.06
500,6.62,1.03,8.99
510,6.84,1.41,8.93
520,7.1,1.39,8.87
530,7.48,1.01,8.87
540,8.14,0.46,9.23
550,8.58,0.07,9.45
560,9.47,-0.93,10.14
570,9.93,-1.27,10.9
580,10.28,-1.54,11.13
590,10.43,-0.95,11.24
600,10.63,-0.31,11.29
610,10.75,-0.1,11.48
620,11.03,-0.16,11.79
630,11.15,-0.22,12.05
640,11.06,-0.18,12.1
650,10.86,-0.01,12.08
660,10.46,0.05,11.94
670,10.11,0.39,11.95
680,9.79,0.32,11.73
690,9.49,0.13,11.61
700,9.26,-0.17,11.59
710,8.94,-0.11,11.48
720,8.63,-0.1,11.36
730,8.28,0.11,11.06
740,7.98,0.35,10.73
750,7.72,0.51,10.44
760,7.44,0.83,10.04
770,7.05,1.35,9.57
780,6.68,1.85,9.11
790,6.35,2.2,8.55
800,6.0,2.6,8.03
810,5.64,3.0,7.39
820,5.37,3.29,6.93
830,5.21,3.31,6.48
840,5.07,3.38,6.04
850,4.91,3.49,5.56
860,4.79,3.54,5.2
870,4.7,3.71,4.77
880,4.56,3.89,4.31
890,4.43,3.98,3.84
900,4.41,4.16,3.62
910,4.46,4.1,3.45
920,4.56,3.94,3.27
930,4.65,3.84,3.17
940,4.8,3.66,3.17
950,4.98,3.29,3.16
960,5.23,2.82,3.19
970,5.44,2.51,3.2
980,5.64,2.35,3.13
990,5.83,2.33,3.17
1000,5.98,2.41,3.15
