timestamp,x,y,z
0,7.62,-0.32,7.01
10,7.72,-0.31,6.96
20,7.86,-0.27,7.04
30,8.02,-0.19,7.12
40,8.21,-0.03,7.19
50,8.39,0.06,7.34
60,8.49,0.25,7.54
70,8.66,0.22,7.66
80,8.63,0.11,7.87
90,8.76,0.03,7.63
100,8.79,0.09,7.65
110,8.86,0.23,7.65
120,8.94,0.34,7.61
130,8.93,0.41,7.57
140,8.96,0.37,7.51
150,8.97,0.23,7.51
160,9.05,0.14,7.53
170,9.15,0.13,7.6
180,9.05,0.16,7.73
190,8.78,0.14,7.86
200,8.47,0.07,7.82
210,8.15,0.02,7.58
220,7.88,-0.15,7.18
230,7.57,-0.33,6.89
240,7.17,-0.54,6.53
250,6.64,-0.69,6.2
260,6.22,-0.9,5.86
270,5.77,-1.03,5.5
280,5.15,-1.14,5.08
290,4.47,-1.39,4.49
300,3.85,-1.49,3.88
310,3.34,-1.31,3.41
320,2.87,-0.95,3.18
330,2.2,-0.54,3.27
340,1.42,-0.23,3.35
350,0.65,0.06,3.44
360,0.2,0.42,3.43
370,0.03,0.59,3.41
380,0.11,0.49,3.56
390,0.34,0.06,3.92
400,0.76,-0.7,4.82
410,1.28,-1.16,5.75
420,2.2,-1.42,6.25
430,2.96,-2.15,6.25
440,3.76,-3.05,5.96
450,4.42,-3.62,5.87
460,5.07,-3.96,6.14
470,5.43,-3.85,6.85
480,5.85,-3.08,7.61
490,6.18,-2.5,8.82
500,6.45,-2.51,10.32
510,6.83,-2.69,12.0
520,7.37,-3.04,13.54
530,7.74,-3.29,14.7
540,8.34,-3.77,14.77
550,8.7,-3.93,14.12
560,9.21,-4.64,13.74
570,9.44,-5.75,14.02
580,9.74,-6.5,14.06
590,9.05,-6.91,15.84
600,8.97,-6.67,16.94
610,8.87,-7.48,17.94
620,8.97,-8.09,18.33
630,9.1,-8.08,18.36
640,8.8,-7.94,18.05
650,8.42,-7.95,17.36
660,7.98,-7.48,16.33
670,7.85,-6.87,15.29
680,7.35,-6.66,14.73
690,6.78,-6.34,13.85
700,6.03,-5.73,13.19
710,4.99,-4.99,12.41
720,4.02,-3.87,11.44
730,3.18,-2.82,10.69
740,2.57,-1.95,10.1
750,2.08,-0.94,9.45
760,1.7,-0.07,8.72
770,1.53,0.89,7.82
780,1.29,1.67,7.15
790,1.21,2.14,6.57
800,1.23,2.38,6.23
810,1.25,2.49,6.01
820,1.36,2.57,5.88
830,1.46,2.5,5.84
840,1.65,2.12,5.85
850,1.93,1.6,5.87
860,2.18,1.22,5.9
870,2.35,0.98,5.91
880,2.5,0.83,5.85
890,2.82,0.6,5.75
900,3.22,0.28,5.79
910,3.57,-0.02,5.9
920,3.89,-0.23,6.0
930,4.22,-0.31,6.04
940,4.58,-0.32,6.04
950,4.89,-0.29,6.03
960,5.16,-0.2,6.09
970,5.4,-0.08,6.12
980,5.66,-0.03,6.19
990,5.98,-0.03,6.41
1000,6.33,-0.28,6.69
