timestamp,x,y,z
0,6.57,-1.65,7.35
10,6.53,-1.6,7.42
20,6.57,-1.57,7.46
30,6.6,-1.53,7.54
40,6.68,-1.56,7.54
50,6.82,-1.62,7.58
60,6.98,-1.72,7.62
70,7.11,-1.79,7.7
80,7.18,-1.79,7.84
90,7.2,-1.62,8.1
100,7.18,-1.21,8.4
110,7.19,-0.54,8.78
120,7.09,0.23,9.43
130,6.94,0.78,10.0
140,6.91,1.09,10.19
150,6.83,0.98,10.3
160,6.77,0.89,10.56
170,6.84,0.24,10.79
180,6.7,-0.65,11.2
190,6.78,-2.4,11.07
200,6.93,-4.26,10.63
210,7.35,-6.29,10.11
220,7.8,-7.92,8.74
230,8.24,-8.94,7.35
240,8.66,-10.29,6.66
250,9.58,-12.23,6.27
260,10.39,-13.98,5.77
270,10.88,-15.0,5.14
280,10.9,-14.85,4.15
290,10.27,-13.91,3.65
300,9.17,-12.29,3.71
310,8.02,-10.14,3.64
320,6.96,-8.11,3.79
330,6.37,-6.86,3.96
340,5.98,-6.33,3.75
350,5.79,-5.78,3.1
360,5.19,-4.83,2.65
370,4.53,-3.37,2.09
380,3.85,-1.6,1.7
390,3.24,0.07,1.2
400,2.55,1.58,0.82
410,1.78,2.88,0.38
420,0.5,4.55,0.13
430,-0.62,7.1,0.03
440,-2.08,10.34,1.0
450,-4.01,12.51,2.67
460,-6.46,13.29,5.17
470,-7.96,12.88,6.23
480,-10.4,11.27,8.13
490,-11.84,9.23,8.39
500,-13.26,5.97,9.28
510,-14.29,2.17,9.91
520,-15.19,-0.52,10.23
530,-15.71,-2.39,9.86
540,-16.12,-4.96,10.53
550,-16.59,-8.04,12.95
560,-16.35,-13.58,14.7
570,-14.08,-22.74,12.32
580,-10.5,-32.9,8.42
590,-6.05,-41.4,5.42
600,0.2,-50.87,0.24
610,4.87,-57.82,-4.19
620,7.12,-59.6,-6.7
630,4.97,-54.91,-6.2
640,0.85,-45.91,-3.39
650,-2.39,-38.03,-0.59
660,-3.46,-32.73,0.74
670,-3.59,-30.23,2.06
680,-2.98,-31.09,3.47
690,-3.02,-33.74,4.53
700,-4.88,-35.08,5.43
710,-8.5,-33.92,6.42
720,-17.65,-30.49,11.78
730,-19.0,-25.97,10.81
740,-23.46,-20.66,10.5
750,-26.61,-13.89,12.32
760,-26.44,-8.5,16.63
770,-24.54,-6.84,20.54
780,-23.48,-4.12,20.38
790,-21.82,1.25,16.55
800,-19.35,7.07,13.3
810,-16.43,12.06,11.77
820,-13.34,16.09,10.8
830,-10.39,18.32,10.68
840,-7.49,18.02,10.83
850,-4.75,15.28,9.87
860,-2.45,11.69,8.31
870,-0.96,8.46,7.44
880,0.34,6.42,6.41
890,1.31,5.61,5.6
900,2.01,5.26,5.16
910,2.68,4.79,4.45
920,3.21,4.59,3.55
930,3.74,4.8,2.5
940,4.31,5.18,1.28
950,4.78,5.36,0.48
960,5.38,5.52,-0.18
970,5.83,5.71,-0.3
980,6.17,5.7,-0.09
990,6.67,5.4,0.3
1000,6.93,5.05,0.87
