timestamp,x,y,z
0,6.69,-2.15,10.13
10,6.7,-2.04,10.21
20,6.66,-1.82,10.25
30,6.54,-1.52,10.35
40,6.38,-1.37,10.46
50,6.19,-1.36,10.41
60,6.02,-1.36,10.28
70,5.81,-1.27,10.19
80,5.56,-1.29,9.98
90,5.48,-1.42,9.71
100,5.3,-1.4,9.63
110,5.09,-1.4,9.56
120,4.94,-1.38,9.43
130,4.64,-1.25,9.31
140,4.3,-1.04,9.11
150,3.97,-0.76,8.95
160,3.55,-0.75,8.68
170,3.22,-1.0,8.25
180,2.86,-1.19,7.88
190,2.42,-1.31,7.51
200,2.0,-1.3,6.97
210,1.66,-1.14,6.35
220,1.41,-1.03,5.88
230,1.06,-1.07,5.37
240,0.92,-1.09,4.95
250,0.84,-1.12,4.86
260,0.87,-1.15,4.86
270,0.86,-1.25,4.85
280,0.85,-1.36,4.91
290,0.96,-1.47,4.97
300,1.16,-1.43,5.26
310,1.27,-1.41,5.71
320,1.32,-1.29,6.23
330,1.53,-0.85,6.56
340,1.81,-0.61,6.82
350,2.07,-0.81,6.93
360,2.54,-0.87,7.3
370,3.11,-0.91,8.18
380,3.72,-1.2,9.05
390,4.42,-1.13,9.99
400,5.2,-1.94,11.16
410,5.75,-2.39,12.3
420,6.19,-2.36,13.29
430,6.56,-2.51,14.2
440,6.51,-2.18,14.34
450,7.0,-1.88,13.76
460,7.19,-2.44,13.83
470,7.21,-3.22,14.7
480,7.21,-2.77,16.12
490,7.1,-3.24,16.69
500,6.76,-2.89,17.38
510,6.73,-2.68,17.02
520,6.75,-3.11,16.26
530,6.51,-3.54,15.81
540,6.28,-3.95,15.34
550,6.07,-4.28,14.74
560,5.57,-4.03,13.96
570,5.09,-3.67,13.18
580,4.44,-3.17,12.16
590,4.1,-2.95,11.25
600,3.77,-2.13,10.29
610,3.36,-1.7,9.93
620,3.07,-1.9,9.79
630,2.72,-1.83,9.86
640,2.17,-1.29,9.84
650,1.9,-0.74,9.35
660,1.55,-0.19,8.69
670,1.2,0.29,8.02
680,1.05,0.63,7.38
690,1.04,0.86,7.07
700,1.11,0.9,7.18
710,1.19,0.68,7.42
720,1.18,0.59,7.65
730,1.16,0.6,7.72
740,1.15,0.65,7.69
750,1.17,0.72,7.56
760,1.25,0.72,7.35
770,1.44,0.6,7.21
780,1.66,0.45,7.17
790,1.88,0.32,7.18
800,2.14,0.22,7.24
810,2.4,0.13,7.28
820,2.66,0.11,7.35
830,2.93,0.14,7.46
840,3.24,0.13,7.6
850,3.5,-0.0,7.77
860,3.74,-0.12,7.83
870,3.97,-0.29,7.93
880,4.24,-0.41,8.01
890,4.47,-0.58,8.09
900,4.73,-0.73,8.19
910,4.91,-0.91,8.31
920,5.07,-0.96,8.52
930,5.14,-0.89,8.72
940,5.1,-0.71,8.93
950,5.08,-0.53,9.04
960,5.09,-0.48,9.1
970,5.13,-0.44,9.17
980,5.2,-0.52,9.23
990,5.31,-0.66,9.26
1000,5.37,-0.78,9.31
