timestamp,x,y,z
0,6.7,-2.53,8.79
10,6.71,-2.43,9.35
20,6.63,-2.18,9.09
30,6.67,-1.64,8.74
40,6.73,-1.47,9.11
50,6.92,-1.36,9.44
60,7.08,-1.5,9.55
70,7.5,-2.23,10.08
80,7.5,-1.98,10.69
90,7.49,-1.11,10.74
100,7.52,-0.54,10.03
110,7.92,0.16,9.19
120,7.82,-0.59,9.36
130,8.3,-0.81,8.46
140,8.71,1.13,10.57
150,9.1,2.49,13.22
160,9.38,1.16,12.33
170,8.97,-0.05,12.39
180,9.33,-0.15,11.74
190,9.37,0.01,11.21
200,8.74,0.15,10.95
210,8.66,0.92,10.39
220,8.73,1.13,10.19
230,8.14,1.3,10.13
240,7.89,1.24,10.07
250,7.69,1.83,9.87
260,7.58,2.15,9.7
270,7.16,1.75,10.05
280,7.17,1.29,9.26
290,6.9,0.48,8.67
300,6.91,-0.32,8.23
310,6.86,-1.17,7.97
320,6.64,-1.71,7.69
330,6.45,-1.71,6.89
340,6.24,-1.51,6.04
350,5.97,-1.41,5.78
360,6.15,-1.4,5.07
370,6.18,-1.52,5.06
380,6.05,-1.7,5.57
390,6.01,-1.85,5.59
400,6.1,-1.97,5.21
410,6.12,-2.07,4.69
420,6.03,-1.88,4.24
430,6.1,-1.92,3.85
440,5.93,-2.2,3.73
450,6.05,-2.38,3.7
460,5.98,-2.25,3.76
470,6.37,-2.34,3.16
480,6.0,-2.23,3.25
490,6.14,-2.29,3.49
500,6.55,-2.65,3.05
510,6.2,-3.38,3.0
520,6.28,-4.11,2.96
530,6.7,-4.89,2.37
540,6.85,-5.99,1.86
550,6.94,-7.27,1.88
560,7.22,-8.33,2.36
570,7.45,-9.65,2.43
580,7.64,-10.86,2.68
590,7.84,-12.19,2.53
600,8.14,-13.21,2.26
610,8.05,-13.63,2.36
620,7.97,-13.26,2.78
630,7.68,-12.76,3.48
640,8.05,-11.58,3.89
650,7.2,-10.53,4.66
660,7.18,-9.41,4.78
670,6.96,-7.83,5.24
680,6.61,-6.0,6.4
690,6.57,-3.93,7.04
700,6.53,-1.93,7.87
710,6.45,-0.06,8.36
720,6.15,1.4,8.46
730,6.13,2.67,8.78
740,5.83,3.79,9.07
750,5.89,5.08,8.76
760,5.33,6.17,8.77
770,5.65,7.13,8.08
780,5.24,8.04,7.94
790,4.95,8.8,7.74
800,5.21,9.29,6.94
810,4.98,9.71,6.57
820,4.91,10.33,6.39
830,4.89,10.94,6.19
840,4.84,11.05,6.25
850,4.78,11.17,6.22
860,4.76,11.25,6.25
870,4.91,11.38,6.21
880,4.74,11.31,6.26
890,4.97,11.0,5.96
900,4.95,10.39,6.0
910,4.82,9.76,6.15
920,5.2,8.97,5.93
930,5.06,7.77,6.18
940,5.14,7.0,6.54
950,5.31,6.43,7.0
960,5.33,6.2,7.44
970,5.37,5.75,7.89
980,5.33,5.06,8.14
990,5.36,4.06,8.38
1000,5.39,3.42,8.88
