timestamp,x,y,z
0,3.56,-1.87,9.51
10,3.49,-1.53,10.29
20,3.32,-2.06,10.61
30,3.86,-3.05,10.57
40,3.74,-2.66,11.54
50,4.32,-2.92,11.89
60,4.6,-3.52,12.74
70,4.48,-2.83,13.77
80,4.89,0.28,14.22
90,5.09,0.78,13.47
100,4.89,2.15,12.88
110,5.48,1.78,12.22
120,6.0,-0.33,12.5
130,5.64,-1.08,13.33
140,6.13,-1.04,12.36
150,5.96,-0.23,12.43
160,5.98,-0.03,12.88
170,5.83,-0.24,13.07
180,6.09,-0.6,12.56
190,6.49,-0.82,11.43
200,5.37,-0.62,11.48
210,5.8,-1.15,10.49
220,5.79,-0.94,9.99
230,5.54,-0.94,10.12
240,5.46,-0.89,9.92
250,5.54,-0.55,9.36
260,5.33,-0.9,9.07
270,5.05,-2.24,8.84
280,4.98,-2.81,7.77
290,4.8,-3.37,7.55
300,4.76,-3.68,7.25
310,4.62,-3.99,6.9
320,4.52,-4.04,6.52
330,4.58,-3.92,6.27
340,4.7,-3.92,6.3
350,4.69,-4.0,6.19
360,4.79,-4.13,5.85
370,4.78,-4.1,5.63
380,4.71,-3.9,5.45
390,4.55,-3.7,5.41
400,4.58,-3.84,5.11
410,4.57,-4.25,4.85
420,4.71,-4.41,4.78
430,4.64,-4.56,4.5
440,4.97,-4.5,4.32
450,5.27,-4.54,4.29
460,5.16,-4.56,4.68
470,5.4,-4.76,4.58
480,5.57,-5.15,4.36
490,5.44,-5.59,4.89
500,5.99,-6.03,4.52
510,6.04,-6.61,4.66
520,5.84,-6.96,4.99
530,6.15,-6.9,4.68
540,5.98,-6.82,4.85
550,6.32,-6.33,4.63
560,6.21,-5.91,4.32
570,6.26,-5.37,4.4
580,6.14,-4.91,4.82
590,6.58,-4.62,4.59
600,6.49,-4.3,5.12
610,6.4,-3.84,5.75
620,6.2,-2.88,6.49
630,6.35,-1.55,6.36
640,6.18,0.06,6.44
650,6.1,1.67,6.85
660,6.42,2.81,6.77
670,6.2,3.63,7.53
680,6.43,4.3,7.07
690,6.45,4.8,6.96
700,6.47,5.24,7.19
710,6.57,5.15,7.0
720,6.56,5.12,7.04
730,6.56,5.33,7.16
740,6.61,5.75,7.52
750,7.14,6.15,6.98
760,6.1,6.23,7.47
770,6.56,6.18,7.3
780,6.61,6.34,7.29
790,6.39,6.44,7.31
800,6.34,6.66,7.4
810,6.26,6.38,7.31
820,6.39,5.82,7.15
830,6.52,4.97,7.24
840,6.6,4.21,7.13
850,6.62,3.53,7.18
860,6.69,2.82,7.48
870,6.87,2.23,7.66
880,7.05,1.71,7.64
890,6.63,1.4,7.92
900,6.91,1.4,7.7
910,6.81,1.27,7.55
920,6.69,1.07,7.66
930,6.92,0.43,7.81
940,6.9,-0.23,8.12
950,6.76,-0.8,8.68
960,6.94,-1.7,8.6
970,7.13,-2.68,8.34
980,6.9,-3.4,8.69
990,7.04,-3.58,8.31
1000,6.99,-3.46,7.94
