timestamp,x,y,z
0,4.33,-0.39,9.12
10,4.33,-0.38,9.21
20,4.3,-0.38,9.31
30,4.33,-0.43,9.36
40,4.34,-0.49,9.29
50,4.34,-0.55,9.24
60,4.36,-0.58,9.16
70,4.37,-0.58,9.21
80,4.36,-0.57,9.21
90,4.34,-0.62,9.19
100,4.32,-0.61,9.12
110,4.29,-0.53,9.06
120,4.31,-0.51,9.11
130,4.31,-0.54,9.16
140,4.28,-0.56,9.17
150,4.26,-0.54,9.09
160,4.26,-0.51,8.98
170,4.28,-0.54,8.94
180,4.29,-0.53,8.93
190,4.27,-0.45,8.92
200,4.27,-0.35,8.93
210,4.27,-0.26,8.98
220,4.28,-0.28,9.09
230,4.28,-0.35,9.11
240,4.33,-0.43,9.09
250,4.31,-0.49,9.09
260,4.27,-0.5,9.09
270,4.24,-0.42,9.07
280,4.16,-0.28,9.09
290,4.01,-0.17,9.1
300,3.91,0.0,9.15
310,3.75,0.11,9.13
320,3.65,0.26,8.98
330,3.52,0.33,8.9
340,3.27,0.64,8.84
350,3.19,0.7,8.71
360,3.22,0.59,8.43
370,3.43,0.06,8.24
380,3.58,-0.72,8.37
390,3.7,-1.73,8.49
400,3.88,-3.03,8.11
410,4.73,-5.57,7.55
420,6.08,-9.06,6.75
430,7.94,-13.56,5.37
440,9.55,-19.63,3.99
450,10.2,-25.64,2.6
460,8.93,-29.47,2.52
470,5.21,-26.84,5.65
480,1.9,-20.46,8.36
490,-0.57,-15.17,9.65
500,-3.03,-11.18,10.43
510,-4.57,-8.02,9.41
520,-5.74,-4.84,7.98
530,-6.39,-1.21,7.61
540,-7.08,1.46,8.74
550,-7.51,3.98,10.56
560,-7.65,6.63,12.52
570,-7.59,8.66,14.03
580,-7.64,10.24,14.6
590,-7.21,12.74,13.63
600,-6.52,15.9,12.41
610,-5.87,17.18,11.98
620,-5.51,16.54,13.07
630,-5.39,15.14,14.7
640,-5.29,14.06,15.18
650,-5.3,14.18,14.89
660,-5.51,15.06,14.17
670,-5.78,15.38,13.38
680,-5.96,14.74,12.25
690,-6.27,14.62,10.89
700,-6.86,14.36,9.71
710,-7.47,12.96,9.1
720,-7.56,10.43,8.73
730,-8.03,7.73,9.29
740,-8.25,5.05,10.55
750,-8.46,2.54,11.72
760,-8.58,0.21,12.71
770,-8.26,-1.67,12.84
780,-7.82,-3.0,12.38
790,-7.11,-4.39,11.89
800,-6.01,-6.3,11.63
810,-5.03,-8.45,11.72
820,-3.73,-10.4,11.36
830,-1.94,-11.58,10.89
840,-0.53,-12.38,10.8
850,0.44,-13.46,10.96
860,1.07,-14.31,11.6
870,1.45,-14.6,11.64
880,1.72,-14.39,11.35
890,1.91,-13.84,10.64
900,2.75,-13.09,8.59
910,3.5,-13.58,6.55
920,4.51,-15.44,5.1
930,5.4,-17.88,4.42
940,6.05,-20.34,4.11
950,5.94,-22.36,4.33
960,5.05,-22.68,5.03
970,3.45,-21.62,5.85
980,1.61,-19.68,5.86
990,-0.16,-18.78,5.06
1000,-2.54,-18.64,4.23
